Browser Size,Device Category,Users
1440x370,desktop,1
1440x670,desktop,1
1440x690,desktop,1
1440x700,desktop,1
1440x710,desktop,1
1440x760,desktop,1
1440x870,desktop,1
1440x890,desktop,1
1440x930,desktop,1
1440x980,desktop,1
1450x690,desktop,1
1450x810,desktop,1
1450x840,desktop,1
1450x860,desktop,1
1450x880,desktop,1
1460x1170,desktop,1
1460x1300,desktop,1
1460x1340,desktop,1
1460x670,desktop,1
1460x740,desktop,1
1460x760,desktop,1
1460x770,desktop,1
1460x820,desktop,1
1460x920,desktop,1
1470x1320,desktop,1
1470x690,desktop,1
1470x830,desktop,1
1470x840,desktop,1
1470x900,desktop,1
1470x930,desktop,1
1480x1320,desktop,1
1480x700,desktop,1
1480x810,desktop,1
1480x850,desktop,1
1480x940,desktop,1
1490x1080,desktop,1
1490x730,desktop,1
1500x1100,desktop,1
1500x690,desktop,1
1500x770,desktop,1
1500x790,desktop,1
1500x850,desktop,1
1510x630,desktop,1
1510x840,desktop,1
1510x860,desktop,1
1520x550,desktop,1
1520x610,desktop,1
1520x720,desktop,1
1520x740,desktop,1
1520x770,desktop,1
1520x810,desktop,1
1520x840,desktop,1
1530x1380,desktop,1
1530x700,desktop,1
1530x730,desktop,1
1530x740,desktop,1
1530x750,desktop,1
1530x780,desktop,1
1530x810,desktop,1
1530x820,desktop,1
1530x860,desktop,1
1530x930,desktop,1
1540x1020,desktop,1
1540x610,desktop,1
1540x680,desktop,1
1540x700,desktop,1
1540x740,desktop,1
1540x790,desktop,1
1540x810,desktop,1
1540x920,desktop,1
1540x980,desktop,1
1550x820,desktop,1
1550x860,desktop,1
1560x1320,desktop,1
1560x770,desktop,1
1560x800,desktop,1
1560x850,desktop,1
1560x860,desktop,1
1560x870,desktop,1
1560x980,desktop,1
1570x1030,desktop,1
1570x1340,desktop,1
1570x810,desktop,1
1570x870,desktop,1
1580x1100,desktop,1
1580x580,desktop,1
1580x760,desktop,1
1580x800,desktop,1
1580x970,desktop,1
1590x690,desktop,1
1590x740,desktop,1
1590x840,desktop,1
1590x870,desktop,1
1590x970,desktop,1
1600x1040,desktop,1
1600x1050,desktop,1
1600x770,desktop,1
1600x790,desktop,1
1600x800,desktop,1
1600x810,desktop,1
1600x830,desktop,1
1600x860,desktop,1
1600x870,desktop,1
1600x900,desktop,1
1610x1080,desktop,1
1610x930,desktop,1
1610x950,desktop,1
1620x1260,desktop,1
1620x1340,desktop,1
1620x790,desktop,1
1620x810,desktop,1
1620x850,desktop,1
1620x880,desktop,1
1620x930,desktop,1
1620x960,desktop,1
1620x980,desktop,1
1630x790,desktop,1
1630x880,desktop,1
1630x920,desktop,1
1630x950,desktop,1
1640x1240,desktop,1
1640x1260,desktop,1
1640x810,desktop,1
1640x910,desktop,1
1640x920,desktop,1
1640x950,desktop,1
1650x1090,desktop,1
1650x1100,desktop,1
1650x1250,desktop,1
1650x790,desktop,1
1660x1020,desktop,1
1660x1040,desktop,1
1660x680,desktop,1
1660x730,desktop,1
1660x750,desktop,1
1660x790,desktop,1
1660x860,desktop,1
1660x950,desktop,1
1660x970,desktop,1
1670x1230,desktop,1
1670x1240,desktop,1
1670x850,desktop,1
1670x880,desktop,1
1670x950,desktop,1
1670x980,desktop,1
1680x810,desktop,1
1680x820,desktop,1
1680x840,desktop,1
1680x860,desktop,1
1680x900,desktop,1
1680x920,desktop,1
1680x990,desktop,1
1690x680,desktop,1
1690x750,desktop,1
1690x850,desktop,1
1690x940,desktop,1
1700x1330,desktop,1
1700x860,desktop,1
1700x970,desktop,1
1710x800,desktop,1
1710x940,desktop,1
1710x960,desktop,1
1720x1000,desktop,1
1720x1010,desktop,1
1720x1230,desktop,1
1720x930,desktop,1
1720x960,desktop,1
1730x1000,desktop,1
1730x760,desktop,1
1730x800,desktop,1
1730x840,desktop,1
1730x880,desktop,1
1730x900,desktop,1
1730x980,desktop,1
1740x1020,desktop,1
1740x1100,desktop,1
1740x620,desktop,1
1740x850,desktop,1
1750x830,desktop,1
1750x890,desktop,1
1750x910,desktop,1
1750x990,desktop,1
1760x1040,desktop,1
1760x1090,desktop,1
1760x720,desktop,1
1760x900,desktop,1
1770x990,desktop,1
1780x1010,desktop,1
1780x1060,desktop,1
1780x1250,desktop,1
1780x910,desktop,1
1800x940,desktop,1
